 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
    150       0.75602600E+00      -0.38020341E-02      -0.16535503E-02       0.17188829E-02
    151       0.76110000E+00      -0.37923116E-02      -0.16391017E-02       0.17100850E-02
    152       0.76617400E+00      -0.37445735E-02      -0.16326218E-02       0.16952700E-02
    153       0.77124800E+00      -0.37280972E-02      -0.16159400E-02       0.16855799E-02
    154       0.77632200E+00      -0.36902863E-02      -0.16114929E-02       0.16725519E-02
    155       0.78139600E+00      -0.36643756E-02      -0.15939277E-02       0.16615304E-02
    156       0.78647000E+00      -0.36379692E-02      -0.15900149E-02       0.16505195E-02
    157       0.79154400E+00      -0.36022987E-02      -0.15731055E-02       0.16381069E-02
    158       0.79661800E+00      -0.35863657E-02      -0.15682142E-02       0.16289561E-02
    159       0.80169200E+00      -0.35429401E-02      -0.15533420E-02       0.16154679E-02
    160       0.80676600E+00      -0.35344323E-02      -0.15462781E-02       0.16076799E-02
    161       0.81184000E+00      -0.34870506E-02      -0.15343669E-02       0.15937204E-02
    162       0.81691400E+00      -0.34815481E-02      -0.15245049E-02       0.15865778E-02
    163       0.82198800E+00      -0.34348935E-02      -0.15158336E-02       0.15728941E-02
    164       0.82706200E+00      -0.34276251E-02      -0.15032323E-02       0.15656232E-02
    165       0.83213600E+00      -0.33861939E-02      -0.14973960E-02       0.15529326E-02
    166       0.83721000E+00      -0.33730969E-02      -0.14827595E-02       0.15448740E-02
    167       0.84228400E+00      -0.33402091E-02      -0.14787827E-02       0.15337047E-02
    168       0.84735800E+00      -0.33187945E-02      -0.14632805E-02       0.15244525E-02
    169       0.85243200E+00      -0.32958987E-02      -0.14598524E-02       0.15150322E-02
    170       0.85750600E+00      -0.32657395E-02      -0.14448436E-02       0.15045124E-02
    171       0.86258000E+00      -0.32521552E-02      -0.14406181E-02       0.14967264E-02
    172       0.86765400E+00      -0.32149029E-02      -0.14273439E-02       0.14851996E-02
    173       0.87272800E+00      -0.32080414E-02      -0.14212369E-02       0.14786267E-02
    174       0.87780200E+00      -0.31669843E-02      -0.14105499E-02       0.14666170E-02
    175       0.88287600E+00      -0.31629825E-02      -0.14019691E-02       0.14606310E-02
    176       0.88795000E+00      -0.31222586E-02      -0.13941573E-02       0.14487996E-02
    177       0.89302400E+00      -0.31168722E-02      -0.13831150E-02       0.14427132E-02
    178       0.89809800E+00      -0.30805218E-02      -0.13778568E-02       0.14317056E-02
    179       0.90317200E+00      -0.30700719E-02      -0.13649457E-02       0.14249229E-02
    180       0.90824600E+00      -0.30411449E-02      -0.13614008E-02       0.14152255E-02
    181       0.91332000E+00      -0.30233083E-02      -0.13476429E-02       0.14073687E-02
    182       0.91839400E+00      -0.30032191E-02      -0.13446546E-02       0.13992052E-02
    183       0.92346800E+00      -0.29774932E-02      -0.13312600E-02       0.13901895E-02
    184       0.92854200E+00      -0.29657591E-02      -0.13276204E-02       0.13834783E-02
    185       0.93361600E+00      -0.29335094E-02      -0.13157128E-02       0.13735198E-02
    186       0.93869000E+00      -0.29279157E-02      -0.13104310E-02       0.13679011E-02
    187       0.94376400E+00      -0.28920101E-02      -0.13008014E-02       0.13574575E-02
    188       0.94883800E+00      -0.28891532E-02      -0.12933151E-02       0.13523803E-02
    189       0.95391200E+00      -0.28532757E-02      -0.12862564E-02       0.13420408E-02
    190       0.95898600E+00      -0.28493507E-02      -0.12765414E-02       0.13368898E-02
    191       0.96406000E+00      -0.28171576E-02      -0.12717994E-02       0.13272394E-02
    192       0.96913400E+00      -0.28088101E-02      -0.12603573E-02       0.13214718E-02
    193       0.97420800E+00      -0.27831186E-02      -0.12572031E-02       0.13129606E-02
    194       0.97928200E+00      -0.27681702E-02      -0.12449333E-02       0.13062230E-02
    195       0.98435600E+00      -0.27503585E-02      -0.12423386E-02       0.12990696E-02
    196       0.98943000E+00      -0.27282497E-02      -0.12303262E-02       0.12912690E-02
    197       0.99450400E+00      -0.27179934E-02      -0.12272000E-02       0.12854185E-02
    198       0.99957800E+00      -0.26898551E-02      -0.12164687E-02       0.12767342E-02
    199       0.10046520E+01      -0.26852487E-02      -0.12118999E-02       0.12718773E-02
    200       0.10097260E+01      -0.26535976E-02      -0.12031872E-02       0.12627113E-02
    201       0.10148000E+01      -0.26516217E-02      -0.11966402E-02       0.12583597E-02
    202       0.10198740E+01      -0.26197593E-02      -0.11902415E-02       0.12492407E-02
    203       0.10249480E+01      -0.26169806E-02      -0.11816634E-02       0.12448396E-02
    204       0.10300220E+01      -0.25882354E-02      -0.11773793E-02       0.12363005E-02
    205       0.10350960E+01      -0.25815772E-02      -0.11671962E-02       0.12313526E-02
    206       0.10401700E+01      -0.25585645E-02      -0.11643908E-02       0.12238117E-02
    207       0.10452440E+01      -0.25459761E-02      -0.11533991E-02       0.12179849E-02
    208       0.10503180E+01      -0.25300368E-02      -0.11511529E-02       0.12116557E-02
    209       0.10553920E+01      -0.25109157E-02      -0.11403312E-02       0.12048508E-02
    210       0.10604660E+01      -0.25018542E-02      -0.11376528E-02       0.11996996E-02
    211       0.10655400E+01      -0.24771362E-02      -0.11279393E-02       0.11920650E-02
    212       0.10706140E+01      -0.24733056E-02      -0.11239866E-02       0.11878248E-02
    213       0.10756880E+01      -0.24452112E-02      -0.11160716E-02       0.11797157E-02
    214       0.10807620E+01      -0.24439176E-02      -0.11103336E-02       0.11759512E-02
    215       0.10858360E+01      -0.24154216E-02      -0.11045128E-02       0.11678441E-02
    216       0.10909100E+01      -0.24135494E-02      -0.10969135E-02       0.11640523E-02
    217       0.10959840E+01      -0.23876981E-02      -0.10930332E-02       0.11564353E-02
    218       0.11010580E+01      -0.23824109E-02      -0.10839352E-02       0.11521579E-02
    219       0.11061320E+01      -0.23616422E-02      -0.10814381E-02       0.11454214E-02
    220       0.11112060E+01      -0.23510029E-02      -0.10715503E-02       0.11403452E-02
    221       0.11162800E+01      -0.23366210E-02      -0.10696099E-02       0.11346972E-02
    222       0.11213540E+01      -0.23199946E-02      -0.10598196E-02       0.11287182E-02
    223       0.11264280E+01      -0.23119095E-02      -0.10575303E-02       0.11241427E-02
    224       0.11315020E+01      -0.22900679E-02      -0.10487013E-02       0.11173834E-02
    225       0.11365760E+01      -0.22868513E-02      -0.10452813E-02       0.11136488E-02
    226       0.11416500E+01      -0.22617623E-02      -0.10380621E-02       0.11064242E-02
    227       0.11467240E+01      -0.22609992E-02      -0.10330229E-02       0.11031407E-02
    228       0.11517980E+01      -0.22353560E-02      -0.10277085E-02       0.10958825E-02
    229       0.11568720E+01      -0.22342054E-02      -0.10209553E-02       0.10925913E-02
    230       0.11619460E+01      -0.22108086E-02      -0.10174299E-02       0.10857485E-02
