 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
   7370       0.37390306E+02      -0.19424516E-04       0.97309526E-05      -0.71728508E-05
   7371       0.37395380E+02      -0.19352654E-04       0.97421097E-05      -0.71856096E-05
   7372       0.37400454E+02      -0.19418149E-04       0.97426439E-05      -0.71762720E-05
   7373       0.37405528E+02      -0.19341957E-04       0.97435715E-05      -0.71897248E-05
   7374       0.37410602E+02      -0.19403684E-04       0.97543510E-05      -0.71809909E-05
   7375       0.37415676E+02      -0.19339139E-04       0.97455974E-05      -0.71925676E-05
   7376       0.37420750E+02      -0.19382008E-04       0.97649359E-05      -0.71868647E-05
   7377       0.37425824E+02      -0.19342452E-04       0.97492295E-05      -0.71944193E-05
   7378       0.37430898E+02      -0.19355631E-04       0.97735137E-05      -0.71934897E-05
   7379       0.37435972E+02      -0.19348766E-04       0.97551469E-05      -0.71957832E-05
   7380       0.37441046E+02      -0.19328121E-04       0.97796520E-05      -0.72002921E-05
   7381       0.37446120E+02      -0.19354279E-04       0.97635129E-05      -0.71972709E-05
   7382       0.37451194E+02      -0.19303297E-04       0.97834678E-05      -0.72066573E-05
   7383       0.37456268E+02      -0.19355374E-04       0.97739388E-05      -0.71994646E-05
   7384       0.37461342E+02      -0.19284372E-04       0.97856009E-05      -0.72120688E-05
   7385       0.37466416E+02      -0.19349428E-04       0.97855722E-05      -0.72027858E-05
   7386       0.37471490E+02      -0.19273227E-04       0.97870695E-05      -0.72162241E-05
   7387       0.37476564E+02      -0.19335409E-04       0.97972892E-05      -0.72074009E-05
   7388       0.37481638E+02      -0.19269988E-04       0.97890408E-05      -0.72191027E-05
   7389       0.37486712E+02      -0.19314104E-04       0.98079479E-05      -0.72131833E-05
   7390       0.37491786E+02      -0.19273003E-04       0.97925678E-05      -0.72209707E-05
   7391       0.37496860E+02      -0.19287941E-04       0.98166457E-05      -0.72197426E-05
   7392       0.37501934E+02      -0.19279211E-04       0.97983526E-05      -0.72223205E-05
   7393       0.37507008E+02      -0.19260439E-04       0.98229226E-05      -0.72265126E-05
   7394       0.37512082E+02      -0.19284835E-04       0.98065882E-05      -0.72237598E-05
   7395       0.37517156E+02      -0.19235420E-04       0.98268646E-05      -0.72328790E-05
   7396       0.37522230E+02      -0.19286233E-04       0.98169158E-05      -0.72258745E-05
   7397       0.37527304E+02      -0.19216141E-04       0.98290836E-05      -0.72383176E-05
   7398       0.37532378E+02      -0.19280719E-04       0.98285059E-05      -0.72290969E-05
   7399       0.37537452E+02      -0.19204567E-04       0.98305798E-05      -0.72425128E-05
   7400       0.37542526E+02      -0.19267166E-04       0.98402456E-05      -0.72336083E-05
   7401       0.37547600E+02      -0.19200925E-04       0.98325154E-05      -0.72454279E-05
   7402       0.37552674E+02      -0.19246261E-04       0.98509894E-05      -0.72392985E-05
   7403       0.37557748E+02      -0.19203659E-04       0.98359536E-05      -0.72473137E-05
   7404       0.37562822E+02      -0.19220346E-04       0.98598176E-05      -0.72457908E-05
   7405       0.37567896E+02      -0.19209776E-04       0.98416182E-05      -0.72486514E-05
   7406       0.37572970E+02      -0.19192893E-04       0.98662428E-05      -0.72525268E-05
   7407       0.37578044E+02      -0.19215528E-04       0.98497316E-05      -0.72500443E-05
   7408       0.37583118E+02      -0.19167718E-04       0.98703194E-05      -0.72588927E-05
   7409       0.37588192E+02      -0.19217251E-04       0.98599647E-05      -0.72520818E-05
   7410       0.37593266E+02      -0.19148124E-04       0.98726315E-05      -0.72643575E-05
   7411       0.37598340E+02      -0.19212194E-04       0.98715112E-05      -0.72552064E-05
   7412       0.37603414E+02      -0.19136156E-04       0.98741600E-05      -0.72685923E-05
   7413       0.37608488E+02      -0.19199138E-04       0.98832698E-05      -0.72596145E-05
   7414       0.37613562E+02      -0.19132140E-04       0.98760619E-05      -0.72715446E-05
   7415       0.37618636E+02      -0.19178669E-04       0.98940926E-05      -0.72652119E-05
   7416       0.37623710E+02      -0.19134615E-04       0.98794092E-05      -0.72734495E-05
   7417       0.37628784E+02      -0.19153042E-04       0.99030429E-05      -0.72716357E-05
   7418       0.37633858E+02      -0.19140659E-04       0.98849475E-05      -0.72747771E-05
   7419       0.37638932E+02      -0.19125676E-04       0.99096068E-05      -0.72783360E-05
   7420       0.37644006E+02      -0.19146553E-04       0.98929282E-05      -0.72761258E-05
   7421       0.37649080E+02      -0.19100383E-04       0.99138079E-05      -0.72847000E-05
   7422       0.37654154E+02      -0.19148615E-04       0.99030520E-05      -0.72780879E-05
   7423       0.37659228E+02      -0.19080504E-04       0.99162017E-05      -0.72901898E-05
   7424       0.37664302E+02      -0.19144031E-04       0.99145368E-05      -0.72811158E-05
   7425       0.37669376E+02      -0.19068164E-04       0.99177501E-05      -0.72944639E-05
   7426       0.37674450E+02      -0.19131489E-04       0.99262941E-05      -0.72854207E-05
   7427       0.37679524E+02      -0.19063786E-04       0.99196042E-05      -0.72974539E-05
   7428       0.37684598E+02      -0.19111473E-04       0.99371742E-05      -0.72909247E-05
   7429       0.37689672E+02      -0.19066006E-04       0.99228445E-05      -0.72993795E-05
   7430       0.37694746E+02      -0.19086153E-04       0.99462251E-05      -0.72972788E-05
   7431       0.37699820E+02      -0.19071974E-04       0.99282381E-05      -0.73006988E-05
   7432       0.37704894E+02      -0.19058892E-04       0.99529070E-05      -0.73039418E-05
   7433       0.37709968E+02      -0.19078002E-04       0.99360653E-05      -0.73020053E-05
   7434       0.37715042E+02      -0.19033491E-04       0.99572131E-05      -0.73103021E-05
   7435       0.37720116E+02      -0.19080390E-04       0.99460576E-05      -0.73038938E-05
   7436       0.37725190E+02      -0.19013332E-04       0.99596709E-05      -0.73158157E-05
   7437       0.37730264E+02      -0.19076267E-04       0.99574575E-05      -0.73068262E-05
   7438       0.37735338E+02      -0.19000614E-04       0.99612228E-05      -0.73201288E-05
   7439       0.37740412E+02      -0.19064228E-04       0.99691903E-05      -0.73110282E-05
   7440       0.37745486E+02      -0.18995861E-04       0.99630134E-05      -0.73231570E-05
   7441       0.37750560E+02      -0.19044657E-04       0.99801059E-05      -0.73164382E-05
   7442       0.37755634E+02      -0.18997803E-04       0.99661317E-05      -0.73251045E-05
   7443       0.37760708E+02      -0.19019634E-04       0.99892382E-05      -0.73227213E-05
   7444       0.37765782E+02      -0.19003665E-04       0.99713657E-05      -0.73264175E-05
   7445       0.37770856E+02      -0.18992467E-04       0.99960219E-05      -0.73293452E-05
   7446       0.37775930E+02      -0.19009791E-04       0.99790248E-05      -0.73276839E-05
   7447       0.37781004E+02      -0.18966947E-04       0.10000420E-04      -0.73357001E-05
   7448       0.37786078E+02      -0.19012471E-04       0.99888711E-05      -0.73295004E-05
   7449       0.37791152E+02      -0.18946490E-04       0.10002933E-04      -0.73412365E-05
   7450       0.37796226E+02      -0.19008774E-04       0.10000173E-04      -0.73323385E-05
   7451       0.37801300E+02      -0.18933371E-04       0.10004482E-04      -0.73455880E-05
   7452       0.37806374E+02      -0.18997209E-04       0.10011869E-04      -0.73364380E-05
   7453       0.37811448E+02      -0.18928210E-04       0.10006206E-04      -0.73486549E-05
   7454       0.37816522E+02      -0.18978057E-04       0.10022811E-04      -0.73417534E-05
   7455       0.37821596E+02      -0.18929836E-04       0.10009201E-04      -0.73506256E-05
   7456       0.37826670E+02      -0.18953309E-04       0.10032019E-04      -0.73479641E-05
   7457       0.37831744E+02      -0.18935550E-04       0.10014274E-04      -0.73519340E-05
   7458       0.37836818E+02      -0.18926218E-04       0.10038902E-04      -0.73545472E-05
   7459       0.37841892E+02      -0.18941733E-04       0.10021765E-04      -0.73531623E-05
   7460       0.37846966E+02      -0.18900558E-04       0.10043395E-04      -0.73608952E-05
   7461       0.37852040E+02      -0.18944664E-04       0.10031465E-04      -0.73549088E-05
   7462       0.37857114E+02      -0.18879781E-04       0.10045968E-04      -0.73664529E-05
   7463       0.37862188E+02      -0.18941358E-04       0.10042670E-04      -0.73576537E-05
   7464       0.37867262E+02      -0.18866236E-04       0.10047523E-04      -0.73708425E-05
   7465       0.37872336E+02      -0.18930236E-04       0.10054332E-04      -0.73616510E-05
   7466       0.37877410E+02      -0.18860639E-04       0.10049190E-04      -0.73739485E-05
   7467       0.37882484E+02      -0.18911480E-04       0.10065305E-04      -0.73668712E-05
   7468       0.37887558E+02      -0.18861918E-04       0.10052072E-04      -0.73759435E-05
   7469       0.37892632E+02      -0.18886993E-04       0.10074595E-04      -0.73730083E-05
   7470       0.37897706E+02      -0.18867449E-04       0.10056996E-04      -0.73772492E-05
   7471       0.37902780E+02      -0.18859965E-04       0.10081587E-04      -0.73795490E-05
   7472       0.37907854E+02      -0.18873656E-04       0.10064330E-04      -0.73784414E-05
   7473       0.37912928E+02      -0.18834158E-04       0.10086187E-04      -0.73858884E-05
   7474       0.37918002E+02      -0.18876809E-04       0.10073895E-04      -0.73801196E-05
   7475       0.37923076E+02      -0.18813053E-04       0.10088834E-04      -0.73914662E-05
   7476       0.37928150E+02      -0.18873871E-04       0.10085011E-04      -0.73827726E-05
   7477       0.37933224E+02      -0.18799071E-04       0.10090411E-04      -0.73958932E-05
   7478       0.37938298E+02      -0.18863178E-04       0.10096650E-04      -0.73866681E-05
   7479       0.37943372E+02      -0.18793025E-04       0.10092039E-04      -0.73990386E-05
   7480       0.37948446E+02      -0.18844812E-04       0.10107663E-04      -0.73917926E-05
   7481       0.37953520E+02      -0.18793940E-04       0.10094824E-04      -0.74010591E-05
   7482       0.37958594E+02      -0.18820586E-04       0.10117046E-04      -0.73978549E-05
   7483       0.37963668E+02      -0.18799274E-04       0.10099615E-04      -0.74023640E-05
   7484       0.37968742E+02      -0.18793629E-04       0.10124161E-04      -0.74043516E-05
   7485       0.37973816E+02      -0.18805489E-04       0.10106804E-04      -0.74035221E-05
   7486       0.37978890E+02      -0.18767683E-04       0.10128881E-04      -0.74106806E-05
   7487       0.37983964E+02      -0.18808853E-04       0.10116246E-04      -0.74051339E-05
   7488       0.37989038E+02      -0.18746259E-04       0.10131619E-04      -0.74162773E-05
   7489       0.37994112E+02      -0.18806278E-04       0.10127285E-04      -0.74076962E-05
   7490       0.37999186E+02      -0.18731848E-04       0.10133234E-04      -0.74207413E-05
   7491       0.38004260E+02      -0.18796016E-04       0.10138908E-04      -0.74114904E-05
   7492       0.38009334E+02      -0.18725358E-04       0.10134837E-04      -0.74239263E-05
   7493       0.38014408E+02      -0.18778050E-04       0.10149971E-04      -0.74165189E-05
   7494       0.38019482E+02      -0.18725911E-04       0.10137541E-04      -0.74259736E-05
   7495       0.38024556E+02      -0.18754102E-04       0.10159456E-04      -0.74225053E-05
   7496       0.38029630E+02      -0.18731046E-04       0.10142211E-04      -0.74272793E-05
   7497       0.38034704E+02      -0.18727237E-04       0.10166702E-04      -0.74289562E-05
   7498       0.38039778E+02      -0.18737270E-04       0.10149267E-04      -0.74284054E-05
   7499       0.38044852E+02      -0.18701176E-04       0.10171553E-04      -0.74352734E-05
   7500       0.38049926E+02      -0.18740847E-04       0.10158592E-04      -0.74299527E-05
   7501       0.38055000E+02      -0.18679457E-04       0.10174393E-04      -0.74408877E-05
   7502       0.38060074E+02      -0.18738643E-04       0.10169560E-04      -0.74324258E-05
   7503       0.38065148E+02      -0.18664638E-04       0.10176057E-04      -0.74453879E-05
   7504       0.38070222E+02      -0.18728826E-04       0.10181173E-04      -0.74361192E-05
   7505       0.38075296E+02      -0.18657719E-04       0.10177647E-04      -0.74486129E-05
   7506       0.38080370E+02      -0.18711282E-04       0.10192289E-04      -0.74410514E-05
   7507       0.38085444E+02      -0.18657924E-04       0.10180280E-04      -0.74506881E-05
   7508       0.38090518E+02      -0.18687639E-04       0.10201880E-04      -0.74469606E-05
   7509       0.38095592E+02      -0.18662870E-04       0.10184837E-04      -0.74519965E-05
   7510       0.38100666E+02      -0.18660898E-04       0.10209262E-04      -0.74533644E-05
   7511       0.38105740E+02      -0.18669112E-04       0.10191765E-04      -0.74530926E-05
   7512       0.38110814E+02      -0.18634755E-04       0.10214250E-04      -0.74596679E-05
   7513       0.38115888E+02      -0.18672915E-04       0.10200979E-04      -0.74545773E-05
   7514       0.38120962E+02      -0.18612773E-04       0.10217197E-04      -0.74652985E-05
   7515       0.38126036E+02      -0.18671097E-04       0.10211875E-04      -0.74569625E-05
   7516       0.38131110E+02      -0.18597574E-04       0.10218917E-04      -0.74698344E-05
   7517       0.38136184E+02      -0.18661746E-04       0.10223476E-04      -0.74605557E-05
   7518       0.38141258E+02      -0.18590251E-04       0.10220500E-04      -0.74730997E-05
   7519       0.38146332E+02      -0.18644651E-04       0.10234643E-04      -0.74653913E-05
   7520       0.38151406E+02      -0.18590125E-04       0.10223065E-04      -0.74752039E-05
   7521       0.38156480E+02      -0.18621346E-04       0.10244338E-04      -0.74712224E-05
   7522       0.38161554E+02      -0.18594898E-04       0.10227510E-04      -0.74765166E-05
   7523       0.38166628E+02      -0.18594764E-04       0.10251854E-04      -0.74775774E-05
   7524       0.38171702E+02      -0.18601172E-04       0.10234309E-04      -0.74775848E-05
   7525       0.38176776E+02      -0.18568576E-04       0.10256976E-04      -0.74838657E-05
   7526       0.38181850E+02      -0.18605213E-04       0.10243405E-04      -0.74790089E-05
   7527       0.38186924E+02      -0.18546364E-04       0.10260029E-04      -0.74895113E-05
   7528       0.38191998E+02      -0.18603798E-04       0.10254224E-04      -0.74813076E-05
   7529       0.38197072E+02      -0.18530814E-04       0.10261802E-04      -0.74940822E-05
   7530       0.38202146E+02      -0.18594935E-04       0.10265803E-04      -0.74848014E-05
   7531       0.38207220E+02      -0.18523110E-04       0.10263373E-04      -0.74973880E-05
   7532       0.38212294E+02      -0.18578314E-04       0.10277010E-04      -0.74895400E-05
   7533       0.38217368E+02      -0.18522671E-04       0.10265865E-04      -0.74995221E-05
   7534       0.38222442E+02      -0.18555375E-04       0.10286795E-04      -0.74952920E-05
   7535       0.38227516E+02      -0.18527282E-04       0.10270190E-04      -0.75008410E-05
   7536       0.38232590E+02      -0.18528982E-04       0.10294432E-04      -0.75015967E-05
   7537       0.38237664E+02      -0.18533593E-04       0.10276848E-04      -0.75018833E-05
   7538       0.38242738E+02      -0.18502778E-04       0.10299676E-04      -0.75078681E-05
   7539       0.38247812E+02      -0.18537879E-04       0.10285811E-04      -0.75032487E-05
   7540       0.38252886E+02      -0.18480361E-04       0.10302821E-04      -0.75135273E-05
   7541       0.38257960E+02      -0.18536873E-04       0.10296533E-04      -0.75054624E-05
   7542       0.38263034E+02      -0.18464478E-04       0.10304634E-04      -0.75181325E-05
   7543       0.38268108E+02      -0.18528504E-04       0.10308070E-04      -0.75088572E-05
   7544       0.38273182E+02      -0.18456402E-04       0.10306180E-04      -0.75214789E-05
   7545       0.38278256E+02      -0.18512367E-04       0.10319295E-04      -0.75134988E-05
   7546       0.38283330E+02      -0.18455650E-04       0.10308582E-04      -0.75236441E-05
   7547       0.38288404E+02      -0.18489806E-04       0.10329150E-04      -0.75191707E-05
   7548       0.38293478E+02      -0.18460091E-04       0.10312769E-04      -0.75249707E-05
   7549       0.38298552E+02      -0.18463613E-04       0.10336885E-04      -0.75254235E-05
   7550       0.38303626E+02      -0.18466428E-04       0.10319265E-04      -0.75259891E-05
   7551       0.38308700E+02      -0.18437399E-04       0.10342230E-04      -0.75316763E-05
   7552       0.38313774E+02      -0.18470941E-04       0.10328074E-04      -0.75272976E-05
   7553       0.38318848E+02      -0.18414779E-04       0.10345448E-04      -0.75373477E-05
   7554       0.38323922E+02      -0.18470325E-04       0.10338675E-04      -0.75294278E-05
   7555       0.38328996E+02      -0.18398556E-04       0.10347282E-04      -0.75419865E-05
   7556       0.38334070E+02      -0.18462434E-04       0.10350145E-04      -0.75327245E-05
   7557       0.38339144E+02      -0.18390093E-04       0.10348785E-04      -0.75453735E-05
   7558       0.38344218E+02      -0.18446764E-04       0.10361363E-04      -0.75372687E-05
   7559       0.38349292E+02      -0.18389002E-04       0.10351080E-04      -0.75475706E-05
   7560       0.38354366E+02      -0.18424564E-04       0.10371264E-04      -0.75428595E-05
   7561       0.38359440E+02      -0.18393239E-04       0.10355111E-04      -0.75489066E-05
   7562       0.38364514E+02      -0.18398554E-04       0.10379078E-04      -0.75490589E-05
   7563       0.38369588E+02      -0.18399561E-04       0.10361428E-04      -0.75499031E-05
   7564       0.38374662E+02      -0.18372312E-04       0.10384506E-04      -0.75552915E-05
   7565       0.38379736E+02      -0.18404258E-04       0.10370064E-04      -0.75511567E-05
   7566       0.38384810E+02      -0.18349464E-04       0.10387784E-04      -0.75609736E-05
   7567       0.38389884E+02      -0.18403987E-04       0.10380529E-04      -0.75532046E-05
   7568       0.38394958E+02      -0.18332869E-04       0.10389630E-04      -0.75656451E-05
   7569       0.38400032E+02      -0.18396530E-04       0.10391918E-04      -0.75564039E-05
   7570       0.38405106E+02      -0.18323978E-04       0.10391082E-04      -0.75690727E-05
   7571       0.38410180E+02      -0.18381287E-04       0.10403117E-04      -0.75608507E-05
   7572       0.38415254E+02      -0.18322502E-04       0.10393267E-04      -0.75713025E-05
   7573       0.38420328E+02      -0.18359413E-04       0.10413056E-04      -0.75663593E-05
   7574       0.38425402E+02      -0.18326482E-04       0.10397141E-04      -0.75726494E-05
   7575       0.38430476E+02      -0.18333552E-04       0.10420946E-04      -0.75725038E-05
   7576       0.38435550E+02      -0.18332733E-04       0.10403281E-04      -0.75736259E-05
   7577       0.38440624E+02      -0.18307247E-04       0.10426460E-04      -0.75787144E-05
   7578       0.38445698E+02      -0.18337557E-04       0.10411748E-04      -0.75748264E-05
   7579       0.38450772E+02      -0.18284136E-04       0.10429805E-04      -0.75844058E-05
   7580       0.38455846E+02      -0.18337580E-04       0.10422082E-04      -0.75767937E-05
   7581       0.38460920E+02      -0.18267134E-04       0.10431675E-04      -0.75891091E-05
   7582       0.38465994E+02      -0.18330511E-04       0.10433398E-04      -0.75798963E-05
   7583       0.38471068E+02      -0.18257775E-04       0.10433096E-04      -0.75925772E-05
   7584       0.38476142E+02      -0.18315657E-04       0.10444591E-04      -0.75842455E-05
   7585       0.38481216E+02      -0.18255870E-04       0.10435191E-04      -0.75948406E-05
   7586       0.38486290E+02      -0.18294077E-04       0.10454585E-04      -0.75896711E-05
   7587       0.38491364E+02      -0.18259551E-04       0.10438933E-04      -0.75961999E-05
   7588       0.38496438E+02      -0.18268343E-04       0.10462573E-04      -0.75957592E-05
   7589       0.38501512E+02      -0.18265689E-04       0.10444921E-04      -0.75971583E-05
   7590       0.38506586E+02      -0.18241959E-04       0.10468201E-04      -0.76019461E-05
   7591       0.38511660E+02      -0.18270604E-04       0.10453248E-04      -0.75983078E-05
   7592       0.38516734E+02      -0.18218574E-04       0.10471646E-04      -0.76076453E-05
   7593       0.38521808E+02      -0.18270893E-04       0.10463480E-04      -0.76001960E-05
   7594       0.38526882E+02      -0.18201153E-04       0.10473576E-04      -0.76123795E-05
   7595       0.38531956E+02      -0.18264195E-04       0.10474754E-04      -0.76032026E-05
   7596       0.38537030E+02      -0.18191318E-04       0.10475004E-04      -0.76158882E-05
   7597       0.38542104E+02      -0.18249725E-04       0.10485975E-04      -0.76074543E-05
   7598       0.38547178E+02      -0.18188979E-04       0.10477050E-04      -0.76181859E-05
   7599       0.38552252E+02      -0.18228447E-04       0.10496059E-04      -0.76127960E-05
   7600       0.38557326E+02      -0.18192356E-04       0.10480700E-04      -0.76195592E-05
   7601       0.38562400E+02      -0.18202858E-04       0.10504182E-04      -0.76188263E-05
   7602       0.38567474E+02      -0.18198383E-04       0.10486577E-04      -0.76205014E-05
   7603       0.38572548E+02      -0.18176424E-04       0.10509962E-04      -0.76249879E-05
   7604       0.38577622E+02      -0.18203398E-04       0.10494801E-04      -0.76216018E-05
   7605       0.38582696E+02      -0.18152797E-04       0.10513546E-04      -0.76306935E-05
   7606       0.38587770E+02      -0.18203972E-04       0.10504967E-04      -0.76234125E-05
   7607       0.38592844E+02      -0.18134997E-04       0.10515577E-04      -0.76354577E-05
   7608       0.38597918E+02      -0.18197676E-04       0.10516233E-04      -0.76263242E-05
   7609       0.38602992E+02      -0.18124727E-04       0.10517050E-04      -0.76390068E-05
   7610       0.38608066E+02      -0.18183633E-04       0.10527512E-04      -0.76304784E-05
   7611       0.38613140E+02      -0.18121995E-04       0.10519085E-04      -0.76413396E-05
   7612       0.38618214E+02      -0.18162713E-04       0.10537715E-04      -0.76357354E-05
   7613       0.38623288E+02      -0.18125113E-04       0.10522675E-04      -0.76427284E-05
   7614       0.38628362E+02      -0.18137334E-04       0.10545999E-04      -0.76417065E-05
   7615       0.38633436E+02      -0.18131076E-04       0.10528467E-04      -0.76436565E-05
   7616       0.38638510E+02      -0.18110920E-04       0.10551955E-04      -0.76478413E-05
   7617       0.38643584E+02      -0.18136243E-04       0.10536610E-04      -0.76447098E-05
   7618       0.38648658E+02      -0.18087129E-04       0.10555700E-04      -0.76535518E-05
   7619       0.38653732E+02      -0.18137159E-04       0.10546726E-04      -0.76464447E-05
   7620       0.38658806E+02      -0.18069024E-04       0.10557850E-04      -0.76583452E-05
   7621       0.38663880E+02      -0.18131331E-04       0.10557994E-04      -0.76492624E-05
   7622       0.38668954E+02      -0.18058393E-04       0.10559383E-04      -0.76619345E-05
   7623       0.38674028E+02      -0.18117788E-04       0.10569335E-04      -0.76533192E-05
   7624       0.38679102E+02      -0.18055338E-04       0.10561413E-04      -0.76643034E-05
   7625       0.38684176E+02      -0.18097304E-04       0.10579656E-04      -0.76584910E-05
   7626       0.38689250E+02      -0.18058261E-04       0.10564946E-04      -0.76657091E-05
   7627       0.38694324E+02      -0.18072218E-04       0.10588097E-04      -0.76644016E-05
   7628       0.38699398E+02      -0.18064222E-04       0.10570649E-04      -0.76666250E-05
   7629       0.38704472E+02      -0.18045908E-04       0.10594220E-04      -0.76705079E-05
   7630       0.38709546E+02      -0.18069601E-04       0.10578698E-04      -0.76676334E-05
   7631       0.38714620E+02      -0.18022031E-04       0.10598112E-04      -0.76762219E-05
   7632       0.38719694E+02      -0.18070918E-04       0.10588744E-04      -0.76692941E-05
   7633       0.38724768E+02      -0.18003695E-04       0.10600363E-04      -0.76810435E-05
   7634       0.38729842E+02      -0.18065615E-04       0.10599987E-04      -0.76720189E-05
   7635       0.38734916E+02      -0.17992765E-04       0.10601933E-04      -0.76846730E-05
   7636       0.38739990E+02      -0.18052631E-04       0.10611359E-04      -0.76759784E-05
   7637       0.38745064E+02      -0.17989440E-04       0.10603932E-04      -0.76870785E-05
   7638       0.38750138E+02      -0.18032641E-04       0.10621762E-04      -0.76810642E-05
   7639       0.38755212E+02      -0.17992210E-04       0.10607375E-04      -0.76885027E-05
   7640       0.38760286E+02      -0.18007902E-04       0.10630320E-04      -0.76869131E-05
   7641       0.38765360E+02      -0.17998198E-04       0.10612949E-04      -0.76894084E-05
   7642       0.38770434E+02      -0.17981745E-04       0.10636568E-04      -0.76929893E-05
   7643       0.38775508E+02      -0.18003811E-04       0.10620862E-04      -0.76903736E-05
   7644       0.38780582E+02      -0.17957820E-04       0.10640565E-04      -0.76987053E-05
   7645       0.38785656E+02      -0.18005544E-04       0.10630790E-04      -0.76919619E-05
   7646       0.38790730E+02      -0.17939280E-04       0.10642873E-04      -0.77035541E-05
   7647       0.38795804E+02      -0.18000776E-04       0.10641957E-04      -0.76945947E-05
   7648       0.38800878E+02      -0.17928064E-04       0.10644434E-04      -0.77072235E-05
   7649       0.38805952E+02      -0.17988355E-04       0.10653307E-04      -0.76984572E-05
   7650       0.38811026E+02      -0.17924465E-04       0.10646355E-04      -0.77096662E-05
   7651       0.38816100E+02      -0.17968858E-04       0.10663740E-04      -0.77034563E-05
   7652       0.38821174E+02      -0.17927063E-04       0.10649660E-04      -0.77111102E-05
   7653       0.38826248E+02      -0.17944460E-04       0.10672362E-04      -0.77092420E-05
   7654       0.38831322E+02      -0.17933048E-04       0.10655059E-04      -0.77120074E-05
   7655       0.38836396E+02      -0.17918440E-04       0.10678686E-04      -0.77152865E-05
   7656       0.38841470E+02      -0.17938852E-04       0.10662785E-04      -0.77129316E-05
   7657       0.38846544E+02      -0.17894444E-04       0.10682741E-04      -0.77210029E-05
   7658       0.38851618E+02      -0.17940951E-04       0.10672547E-04      -0.77144489E-05
   7659       0.38856692E+02      -0.17875662E-04       0.10685062E-04      -0.77258778E-05
   7660       0.38861766E+02      -0.17936663E-04       0.10683591E-04      -0.77169908E-05
   7661       0.38866840E+02      -0.17864109E-04       0.10686575E-04      -0.77295867E-05
   7662       0.38871914E+02      -0.17924748E-04       0.10694874E-04      -0.77207563E-05
   7663       0.38876988E+02      -0.17860171E-04       0.10688382E-04      -0.77320671E-05
   7664       0.38882062E+02      -0.17905684E-04       0.10705295E-04      -0.77256680E-05
   7665       0.38887136E+02      -0.17862522E-04       0.10691517E-04      -0.77335321E-05
   7666       0.38892210E+02      -0.17881563E-04       0.10713947E-04      -0.77313892E-05
   7667       0.38897284E+02      -0.17868417E-04       0.10696710E-04      -0.77344226E-05
   7668       0.38902358E+02      -0.17855612E-04       0.10720319E-04      -0.77374001E-05
   7669       0.38907432E+02      -0.17874319E-04       0.10704224E-04      -0.77353075E-05
   7670       0.38912506E+02      -0.17831471E-04       0.10724409E-04      -0.77431152E-05
   7671       0.38917580E+02      -0.17876689E-04       0.10713798E-04      -0.77367555E-05
   7672       0.38922654E+02      -0.17812367E-04       0.10726729E-04      -0.77480150E-05
   7673       0.38927728E+02      -0.17872786E-04       0.10724702E-04      -0.77392073E-05
   7674       0.38932802E+02      -0.17800389E-04       0.10728186E-04      -0.77517630E-05
   7675       0.38937876E+02      -0.17861283E-04       0.10735907E-04      -0.77428760E-05
   7676       0.38942950E+02      -0.17796019E-04       0.10729878E-04      -0.77542814E-05
   7677       0.38948024E+02      -0.17842564E-04       0.10746311E-04      -0.77476996E-05
   7678       0.38953098E+02      -0.17798021E-04       0.10732846E-04      -0.77557687E-05
   7679       0.38958172E+02      -0.17818636E-04       0.10754995E-04      -0.77533549E-05
   7680       0.38963246E+02      -0.17803725E-04       0.10737841E-04      -0.77566541E-05
   7681       0.38968320E+02      -0.17792675E-04       0.10761422E-04      -0.77593306E-05
   7682       0.38973394E+02      -0.17809624E-04       0.10745156E-04      -0.77575016E-05
   7683       0.38978468E+02      -0.17768311E-04       0.10765565E-04      -0.77650428E-05
   7684       0.38983542E+02      -0.17812168E-04       0.10754559E-04      -0.77588819E-05
   7685       0.38988616E+02      -0.17748808E-04       0.10767909E-04      -0.77699662E-05
   7686       0.38993690E+02      -0.17808561E-04       0.10765344E-04      -0.77612447E-05
   7687       0.38998764E+02      -0.17736328E-04       0.10769340E-04      -0.77737527E-05
   7688       0.39003838E+02      -0.17797393E-04       0.10776497E-04      -0.77648168E-05
   7689       0.39008912E+02      -0.17731449E-04       0.10770951E-04      -0.77763096E-05
   7690       0.39013986E+02      -0.17778952E-04       0.10786916E-04      -0.77695516E-05
   7691       0.39019060E+02      -0.17733029E-04       0.10773792E-04      -0.77778202E-05
   7692       0.39024134E+02      -0.17755162E-04       0.10795668E-04      -0.77751396E-05
   7693       0.39029208E+02      -0.17738471E-04       0.10778633E-04      -0.77787023E-05
   7694       0.39034282E+02      -0.17729146E-04       0.10802195E-04      -0.77810784E-05
   7695       0.39039356E+02      -0.17744305E-04       0.10785794E-04      -0.77795142E-05
