# Reference REAR geodetic observables for the Greenland example
# Green function from file: gf_Greenland.dat
# All rates are in units of mm/yr
#
#   Lon        Lat           Up          South          East         Geoid    
# --------  ----------  ------------  ------------  ------------  ------------
  340.5000     58.0000  0.571509E+00  0.846498E-01  0.664462E-01  -.307417E+00
  341.0000     58.0000  0.565114E+00  0.823374E-01  0.653097E-01  -.299594E+00
  341.5000     58.0000  0.558844E+00  0.800785E-01  0.641655E-01  -.291921E+00
  342.0000     58.0000  0.552693E+00  0.778748E-01  0.630220E-01  -.284395E+00
  342.5000     58.0000  0.546637E+00  0.757184E-01  0.618714E-01  -.277010E+00
  343.0000     58.0000  0.540695E+00  0.736096E-01  0.607174E-01  -.269768E+00
  343.5000     58.0000  0.534847E+00  0.715471E-01  0.595584E-01  -.262662E+00
  344.0000     58.0000  0.529099E+00  0.695272E-01  0.583954E-01  -.255693E+00
  344.5000     58.0000  0.523446E+00  0.675491E-01  0.572279E-01  -.248857E+00
  345.0000     58.0000  0.517891E+00  0.656090E-01  0.560559E-01  -.242153E+00
  345.5000     58.0000  0.512422E+00  0.637082E-01  0.548806E-01  -.235578E+00
  346.0000     58.0000  0.507037E+00  0.618454E-01  0.537016E-01  -.229129E+00
  346.5000     58.0000  0.501737E+00  0.600153E-01  0.525174E-01  -.222804E+00
  347.0000     58.0000  0.496525E+00  0.582192E-01  0.513312E-01  -.216602E+00
  347.5000     58.0000  0.491393E+00  0.564532E-01  0.501404E-01  -.210520E+00
  348.0000     58.0000  0.486342E+00  0.547222E-01  0.489493E-01  -.204557E+00
  348.5000     58.0000  0.481367E+00  0.530192E-01  0.477540E-01  -.198709E+00
  349.0000     58.0000  0.476456E+00  0.513434E-01  0.465567E-01  -.192973E+00
  349.5000     58.0000  0.471631E+00  0.496991E-01  0.453614E-01  -.187351E+00
  350.0000     58.0000  0.466883E+00  0.480793E-01  0.441633E-01  -.181840E+00
  285.0000     58.5000  0.476843E+00  0.507387E-01  -.469450E-01  -.190816E+00
  285.5000     58.5000  0.481643E+00  0.522398E-01  -.482629E-01  -.196435E+00
  286.0000     58.5000  0.486539E+00  0.537673E-01  -.495902E-01  -.202182E+00
  286.5000     58.5000  0.491509E+00  0.553196E-01  -.509256E-01  -.208056E+00
  287.0000     58.5000  0.496584E+00  0.569028E-01  -.522738E-01  -.214067E+00
  287.5000     58.5000  0.501736E+00  0.585168E-01  -.536348E-01  -.220212E+00
  288.0000     58.5000  0.506999E+00  0.601625E-01  -.550046E-01  -.226502E+00
  288.5000     58.5000  0.512365E+00  0.618419E-01  -.563857E-01  -.232938E+00
  289.0000     58.5000  0.517859E+00  0.635608E-01  -.577862E-01  -.239528E+00
  289.5000     58.5000  0.523433E+00  0.653215E-01  -.592029E-01  -.246269E+00
  290.0000     58.5000  0.529133E+00  0.671221E-01  -.606339E-01  -.253173E+00
  290.5000     58.5000  0.534957E+00  0.689692E-01  -.620833E-01  -.260243E+00
  291.0000     58.5000  0.540920E+00  0.708662E-01  -.635549E-01  -.267487E+00
  291.5000     58.5000  0.547021E+00  0.728163E-01  -.650487E-01  -.274908E+00
  292.0000     58.5000  0.553255E+00  0.748209E-01  -.665619E-01  -.282512E+00
  292.5000     58.5000  0.559659E+00  0.768861E-01  -.681022E-01  -.290309E+00
  293.0000     58.5000  0.566210E+00  0.790192E-01  -.696706E-01  -.298301E+00
  293.5000     58.5000  0.572941E+00  0.812229E-01  -.712724E-01  -.306499E+00
  294.0000     58.5000  0.579856E+00  0.835016E-01  -.729038E-01  -.314908E+00
  294.5000     58.5000  0.586949E+00  0.858666E-01  -.745758E-01  -.323536E+00
  295.0000     58.5000  0.594256E+00  0.883192E-01  -.762832E-01  -.332392E+00
  295.5000     58.5000  0.601778E+00  0.908728E-01  -.780381E-01  -.341483E+00
  296.0000     58.5000  0.609529E+00  0.935294E-01  -.798351E-01  -.350819E+00
  296.5000     58.5000  0.617530E+00  0.963054E-01  -.816876E-01  -.360410E+00
  297.0000     58.5000  0.625812E+00  0.992084E-01  -.835948E-01  -.370267E+00
  297.5000     58.5000  0.634363E+00  0.102249E+00  -.855622E-01  -.380395E+00
  298.0000     58.5000  0.643223E+00  0.105441E+00  -.875931E-01  -.390809E+00
  298.5000     58.5000  0.652423E+00  0.108798E+00  -.896936E-01  -.401520E+00
  299.0000     58.5000  0.661967E+00  0.112338E+00  -.918683E-01  -.412538E+00
  299.5000     58.5000  0.671893E+00  0.116077E+00  -.941198E-01  -.423874E+00
  300.0000     58.5000  0.682233E+00  0.120031E+00  -.964552E-01  -.435543E+00
  300.5000     58.5000  0.693020E+00  0.124226E+00  -.988757E-01  -.447556E+00
  301.0000     58.5000  0.704278E+00  0.128681E+00  -.101384E+00  -.459926E+00
  301.5000     58.5000  0.716062E+00  0.133422E+00  -.103987E+00  -.472666E+00
  302.0000     58.5000  0.728388E+00  0.138477E+00  -.106677E+00  -.485787E+00
  302.5000     58.5000  0.741330E+00  0.143872E+00  -.109457E+00  -.499307E+00
  303.0000     58.5000  0.754903E+00  0.149641E+00  -.112322E+00  -.513233E+00
  303.5000     58.5000  0.769168E+00  0.155821E+00  -.115273E+00  -.527579E+00
  304.0000     58.5000  0.784196E+00  0.162446E+00  -.118291E+00  -.542360E+00
  304.5000     58.5000  0.799986E+00  0.169554E+00  -.121364E+00  -.557576E+00
  305.0000     58.5000  0.816639E+00  0.177185E+00  -.124475E+00  -.573243E+00
  305.5000     58.5000  0.834215E+00  0.185387E+00  -.127599E+00  -.589369E+00
  306.0000     58.5000  0.852711E+00  0.194185E+00  -.130697E+00  -.605945E+00
  306.5000     58.5000  0.872201E+00  0.203656E+00  -.133733E+00  -.622975E+00
  307.0000     58.5000  0.892769E+00  0.213818E+00  -.136652E+00  -.640456E+00
  307.5000     58.5000  0.914381E+00  0.224719E+00  -.139383E+00  -.658364E+00
  308.0000     58.5000  0.937115E+00  0.236398E+00  -.141850E+00  -.676686E+00
  308.5000     58.5000  0.960948E+00  0.248886E+00  -.143954E+00  -.695381E+00
  309.0000     58.5000  0.985860E+00  0.262193E+00  -.145577E+00  -.714403E+00
  309.5000     58.5000  0.101179E+01  0.276321E+00  -.146578E+00  -.733686E+00
  310.0000     58.5000  0.103868E+01  0.291253E+00  -.146813E+00  -.753152E+00
  310.5000     58.5000  0.106640E+01  0.306928E+00  -.146098E+00  -.772695E+00
  311.0000     58.5000  0.109470E+01  0.323275E+00  -.144252E+00  -.792174E+00
  311.5000     58.5000  0.112340E+01  0.340169E+00  -.141074E+00  -.811444E+00
  312.0000     58.5000  0.115217E+01  0.357461E+00  -.136361E+00  -.830314E+00
  312.5000     58.5000  0.118060E+01  0.374941E+00  -.129882E+00  -.848562E+00
  313.0000     58.5000  0.120827E+01  0.392334E+00  -.121411E+00  -.865939E+00
  313.5000     58.5000  0.123454E+01  0.409303E+00  -.110681E+00  -.882140E+00
  314.0000     58.5000  0.125868E+01  0.425361E+00  -.974680E-01  -.896810E+00
  314.5000     58.5000  0.127993E+01  0.439874E+00  -.816012E-01  -.909562E+00
  315.0000     58.5000  0.129714E+01  0.452072E+00  -.630824E-01  -.919924E+00
  315.5000     58.5000  0.130940E+01  0.461032E+00  -.421922E-01  -.927467E+00
  316.0000     58.5000  0.131578E+01  0.465945E+00  -.195832E-01  -.931801E+00
  316.5000     58.5000  0.131573E+01  0.466243E+00  0.373902E-02  -.932685E+00
  317.0000     58.5000  0.130915E+01  0.461864E+00  0.265878E-01  -.930089E+00
  317.5000     58.5000  0.129666E+01  0.453208E+00  0.478482E-01  -.924234E+00
  318.0000     58.5000  0.127891E+01  0.441054E+00  0.667023E-01  -.915461E+00
  318.5000     58.5000  0.125721E+01  0.426370E+00  0.827262E-01  -.904279E+00
  319.0000     58.5000  0.123263E+01  0.410086E+00  0.958312E-01  -.891174E+00
  319.5000     58.5000  0.120624E+01  0.393010E+00  0.106177E+00  -.876613E+00
  320.0000     58.5000  0.117887E+01  0.375625E+00  0.114037E+00  -.860995E+00
  320.5000     58.5000  0.115105E+01  0.358501E+00  0.119761E+00  -.844625E+00
  321.0000     58.5000  0.112345E+01  0.341862E+00  0.123697E+00  -.827796E+00
  321.5000     58.5000  0.109634E+01  0.325920E+00  0.126167E+00  -.810704E+00
  322.0000     58.5000  0.107009E+01  0.310774E+00  0.127464E+00  -.793524E+00
  322.5000     58.5000  0.104469E+01  0.296477E+00  0.127833E+00  -.776352E+00
  323.0000     58.5000  0.102041E+01  0.283049E+00  0.127486E+00  -.759304E+00
  323.5000     58.5000  0.997124E+00  0.270467E+00  0.126595E+00  -.742423E+00
  324.0000     58.5000  0.974961E+00  0.258689E+00  0.125296E+00  -.725772E+00
  324.5000     58.5000  0.953846E+00  0.247685E+00  0.123700E+00  -.709378E+00
  325.0000     58.5000  0.933754E+00  0.237392E+00  0.121907E+00  -.693263E+00
  325.5000     58.5000  0.914683E+00  0.227769E+00  0.119971E+00  -.677450E+00
  326.0000     58.5000  0.896508E+00  0.218767E+00  0.117958E+00  -.661934E+00
  326.5000     58.5000  0.879226E+00  0.210333E+00  0.115905E+00  -.646728E+00
  327.0000     58.5000  0.862771E+00  0.202422E+00  0.113841E+00  -.631831E+00
  327.5000     58.5000  0.847066E+00  0.194995E+00  0.111789E+00  -.617238E+00
  328.0000     58.5000  0.832072E+00  0.188005E+00  0.109768E+00  -.602948E+00
  328.5000     58.5000  0.817759E+00  0.181420E+00  0.107786E+00  -.588960E+00
  329.0000     58.5000  0.804043E+00  0.175195E+00  0.105849E+00  -.575262E+00
  329.5000     58.5000  0.790915E+00  0.169321E+00  0.103969E+00  -.561854E+00
  330.0000     58.5000  0.778278E+00  0.163752E+00  0.102139E+00  -.548721E+00
  330.5000     58.5000  0.766147E+00  0.158468E+00  0.100362E+00  -.535865E+00
  331.0000     58.5000  0.754473E+00  0.153448E+00  0.986422E-01  -.523278E+00
  331.5000     58.5000  0.743205E+00  0.148670E+00  0.969710E-01  -.510950E+00
  332.0000     58.5000  0.732338E+00  0.144116E+00  0.953491E-01  -.498879E+00
  332.5000     58.5000  0.721823E+00  0.139764E+00  0.937715E-01  -.487055E+00
