    n                 h                 l                 k
      16413  0.1861938168D-03  0.4227645160D-12  0.8017988495D-08
      16414  0.1861824693D-03  0.4230876245D-12  0.8017011721D-08
      16415  0.1861711388D-03  0.4227130034D-12  0.8016035613D-08
      16416  0.1861598049D-03  0.4229488701D-12  0.8015059283D-08
      16417  0.1861484472D-03  0.4228359053D-12  0.8014082731D-08
      16418  0.1861371268D-03  0.4228973447D-12  0.8013107067D-08
      16419  0.1861257861D-03  0.4223484465D-12  0.8012131403D-08
      16420  0.1861144585D-03  0.4225468145D-12  0.8011156183D-08
      16421  0.1861031149D-03  0.4225585424D-12  0.8010180075D-08
      16422  0.1860917877D-03  0.4228815060D-12  0.8009205077D-08
      16423  0.1860804674D-03  0.4224199113D-12  0.8008230079D-08
      16424  0.1860691368D-03  0.4221327001D-12  0.8007255081D-08
      16425  0.1860578029D-03  0.4224556308D-12  0.8006280527D-08
      16426  0.1860464859D-03  0.4219941463D-12  0.8005305974D-08
      16427  0.1860351520D-03  0.4223170463D-12  0.8004331642D-08
      16428  0.1860238350D-03  0.4221170533D-12  0.8003357088D-08
      16429  0.1860125215D-03  0.4213942629D-12  0.8002383645D-08
      16430  0.1860011940D-03  0.4218464996D-12  0.8001409535D-08
      16431  0.1859898774D-03  0.4219528521D-12  0.8000436313D-08
      16432  0.1859785638D-03  0.4216658090D-12  0.7999462870D-08
      16433  0.1859672434D-03  0.4213788006D-12  0.7998489204D-08
      16434  0.1859559333D-03  0.4217887107D-12  0.7997516649D-08
      16435  0.1859446187D-03  0.4210863925D-12  0.7996543427D-08
      16436  0.1859333095D-03  0.4210405844D-12  0.7995570428D-08
      16437  0.1859219959D-03  0.4212762512D-12  0.7994598095D-08
      16438  0.1859106921D-03  0.4213844565D-12  0.7993625539D-08
      16439  0.1858993824D-03  0.4210508274D-12  0.7992653206D-08
      16440  0.1858880756D-03  0.4213735293D-12  0.7991681095D-08
      16441  0.1858767688D-03  0.4207383850D-12  0.7990709205D-08
      16442  0.1858654635D-03  0.4213732035D-12  0.7989737760D-08
      16443  0.1858541586D-03  0.4206001444D-12  0.7988765871D-08
      16444  0.1858428756D-03  0.4205745651D-12  0.7987795314D-08
      16445  0.1858315756D-03  0.4201137284D-12  0.7986824091D-08
      16446  0.1858202756D-03  0.4200881821D-12  0.7985852868D-08
      16447  0.1858089654D-03  0.4208460131D-12  0.7984881645D-08
      16448  0.1857976767D-03  0.4200214703D-12  0.7983911088D-08
      16449  0.1857863688D-03  0.4210559336D-12  0.7982940531D-08
      16450  0.1857750926D-03  0.4205081821D-12  0.7981970640D-08
      16451  0.1857637858D-03  0.4210047418D-12  0.7981000083D-08
      16452  0.1857524994D-03  0.4208051206D-12  0.7980030192D-08
      16453  0.1857412299D-03  0.4198224345D-12  0.7979060745D-08
      16454  0.1857299333D-03  0.4199709275D-12  0.7978091299D-08
      16455  0.1857186503D-03  0.4202064015D-12  0.7977121852D-08
      16456  0.1857073669D-03  0.4189023149D-12  0.7976153071D-08
      16457  0.1856960944D-03  0.4195464108D-12  0.7975183847D-08
      16458  0.1856848012D-03  0.4196948842D-12  0.7974214622D-08
      16459  0.1856735182D-03  0.4196693837D-12  0.7973245841D-08
      16460  0.1856622460D-03  0.4194681788D-12  0.7972277283D-08
      16461  0.1856509691D-03  0.4192705212D-12  0.7971308724D-08
      16462  0.1856396929D-03  0.4190711263D-12  0.7970340610D-08
      16463  0.1856284064D-03  0.4196543687D-12  0.7969372717D-08
      16464  0.1856171404D-03  0.4191941196D-12  0.7968404825D-08
      16465  0.1856058675D-03  0.4196033908D-12  0.7967437377D-08
      16466  0.1855945981D-03  0.4193170829D-12  0.7966469706D-08
      16467  0.1855833422D-03  0.4188569380D-12  0.7965502924D-08
      16468  0.1855720659D-03  0.4190053636D-12  0.7964535476D-08
      16469  0.1855607999D-03  0.4185452937D-12  0.7963568471D-08
      16470  0.1855495372D-03  0.4189544798D-12  0.7962601689D-08
      16471  0.1855382746D-03  0.4184075541D-12  0.7961635129D-08
      16472  0.1855270127D-03  0.4184967572D-12  0.7960668791D-08
      16473  0.1855157492D-03  0.4183567524D-12  0.7959702231D-08
      16474  0.1855044865D-03  0.4182444572D-12  0.7958736337D-08
      16475  0.1854932374D-03  0.4175239200D-12  0.7957769999D-08
      16476  0.1854819782D-03  0.4181936842D-12  0.7956804549D-08
      16477  0.1854707171D-03  0.4181035223D-12  0.7955839321D-08
      16478  0.1854594528D-03  0.4186641907D-12  0.7954873427D-08
      16479  0.1854482173D-03  0.4175094401D-12  0.7953908421D-08
      16480  0.1854369662D-03  0.4176484143D-12  0.7952943637D-08
      16481  0.1854257123D-03  0.4177193582D-12  0.7951978631D-08
      16482  0.1854144565D-03  0.4177808697D-12  0.7951013625D-08
      16483  0.1854032141D-03  0.4179292250D-12  0.7950049064D-08
      16484  0.1853919651D-03  0.4175564853D-12  0.7949084724D-08
      16485  0.1853807174D-03  0.4183633384D-12  0.7948120162D-08
      16486  0.1853694872D-03  0.4174189911D-12  0.7947156710D-08
      16487  0.1853582449D-03  0.4173936719D-12  0.7946192815D-08
      16488  0.1853470060D-03  0.4168474047D-12  0.7945229363D-08
      16489  0.1853357637D-03  0.4169957629D-12  0.7944265690D-08
      16490  0.1853245112D-03  0.4174045467D-12  0.7943302016D-08
      16491  0.1853132960D-03  0.4171188061D-12  0.7942339231D-08
      16492  0.1853020537D-03  0.4172671209D-12  0.7941376001D-08
      16493  0.1852908250D-03  0.4168946245D-12  0.7940413438D-08
      16494  0.1852795963D-03  0.4170429348D-12  0.7939450652D-08
      16495  0.1852683709D-03  0.4164969209D-12  0.7938488311D-08
      16496  0.1852571388D-03  0.4165584539D-12  0.7937525748D-08
      16497  0.1852459033D-03  0.4164464245D-12  0.7936563629D-08
      16498  0.1852346678D-03  0.4171153606D-12  0.7935601287D-08
      16499  0.1852234560D-03  0.4166562422D-12  0.7934640056D-08
      16500  0.1852122306D-03  0.4161971791D-12  0.7933678603D-08
      16501  0.1852010121D-03  0.4162587118D-12  0.7932717150D-08
      16502  0.1851897800D-03  0.4165804917D-12  0.7931755697D-08
      16503  0.1851785580D-03  0.4166419935D-12  0.7930794466D-08
      16504  0.1851673496D-03  0.4159228200D-12  0.7929833679D-08
      16505  0.1851561345D-03  0.4157241474D-12  0.7928873114D-08
      16506  0.1851449125D-03  0.4156989598D-12  0.7927912105D-08
      16507  0.1851336906D-03  0.4158472258D-12  0.7926951540D-08
      16508  0.1851224838D-03  0.4158940581D-12  0.7925991641D-08
      16509  0.1851112637D-03  0.4163171329D-12  0.7925031076D-08
      16510  0.1851000621D-03  0.4155982401D-12  0.7924071621D-08
      16511  0.1850888530D-03  0.4156675033D-12  0.7923111722D-08
      16512  0.1850776487D-03  0.4159813932D-12  0.7922152045D-08
      16513  0.1850664437D-03  0.4150892639D-12  0.7921193035D-08
      16514  0.1850552354D-03  0.4156709460D-12  0.7920233358D-08
      16515  0.1850440168D-03  0.4156457752D-12  0.7919274125D-08
      16516  0.1850328254D-03  0.4152738960D-12  0.7918315559D-08
      16517  0.1850216136D-03  0.4157687885D-12  0.7917356326D-08
      16518  0.1850104324D-03  0.4152236119D-12  0.7916398204D-08
      16519  0.1849992342D-03  0.4149384880D-12  0.7915439859D-08
      16520  0.1849880394D-03  0.4148267124D-12  0.7914481515D-08
      16521  0.1849768412D-03  0.4147149502D-12  0.7913523170D-08
      16522  0.1849656464D-03  0.4147764948D-12  0.7912565270D-08
      16523  0.1849544550D-03  0.4147513903D-12  0.7911607591D-08
      16524  0.1849432636D-03  0.4142064734D-12  0.7910650579D-08
      16525  0.1849320756D-03  0.4140947759D-12  0.7909693123D-08
      16526  0.1849208808D-03  0.4151092229D-12  0.7908735444D-08
      16527  0.1849096928D-03  0.4146510035D-12  0.7907778432D-08
      16528  0.1848985183D-03  0.4141062246D-12  0.7906821864D-08
      16529  0.1848873235D-03  0.4144276086D-12  0.7905864852D-08
      16530  0.1848761457D-03  0.4142293273D-12  0.7904908284D-08
      16531  0.1848649611D-03  0.4142908675D-12  0.7903951493D-08
      16532  0.1848537900D-03  0.4141792117D-12  0.7902995591D-08
      16533  0.1848426020D-03  0.4139809818D-12  0.7902039467D-08
      16534  0.1848314208D-03  0.4139559421D-12  0.7901083565D-08
      16535  0.1848202497D-03  0.4135845922D-12  0.7900127885D-08
      16536  0.1848090719D-03  0.4137327259D-12  0.7899172205D-08
      16537  0.1847978941D-03  0.4138808416D-12  0.7898216747D-08
      16538  0.1847867230D-03  0.4139423769D-12  0.7897261289D-08
      16539  0.1847755418D-03  0.4141770193D-12  0.7896306053D-08
      16540  0.1847643911D-03  0.4133730078D-12  0.7895351484D-08
      16541  0.1847532099D-03  0.4139538440D-12  0.7894396470D-08
      16542  0.1847420524D-03  0.4131499434D-12  0.7893442122D-08
      16543  0.1847308746D-03  0.4134711133D-12  0.7892487330D-08
      16544  0.1847197239D-03  0.4130999948D-12  0.7891533205D-08
      16545  0.1847085664D-03  0.4127289216D-12  0.7890579523D-08
      16546  0.1846973886D-03  0.4132231002D-12  0.7889624953D-08
      16547  0.1846862394D-03  0.4130054522D-12  0.7888671494D-08
      16548  0.1846750702D-03  0.4133461759D-12  0.7887718256D-08
      16549  0.1846639297D-03  0.4129751770D-12  0.7886764575D-08
      16550  0.1846527587D-03  0.4129502225D-12  0.7885810893D-08
      16551  0.1846416080D-03  0.4124063033D-12  0.7884857878D-08
      16552  0.1846304624D-03  0.4122871965D-12  0.7883904640D-08
      16553  0.1846193019D-03  0.4125084086D-12  0.7882952069D-08
      16554  0.1846081491D-03  0.4126774766D-12  0.7881999498D-08
      16555  0.1845969951D-03  0.4124796001D-12  0.7881046704D-08
      16556  0.1845858580D-03  0.4124546845D-12  0.7880094577D-08
      16557  0.1845747087D-03  0.4131896353D-12  0.7879142450D-08
      16558  0.1845635532D-03  0.4122319466D-12  0.7878190322D-08
      16559  0.1845524127D-03  0.4119476919D-12  0.7877238417D-08
      16560  0.1845412654D-03  0.4119228144D-12  0.7876286734D-08
      16561  0.1845301351D-03  0.4118114977D-12  0.7875335273D-08
      16562  0.1845189912D-03  0.4114408829D-12  0.7874383812D-08
      16563  0.1845078540D-03  0.4120210639D-12  0.7873432573D-08
      16564  0.1844967169D-03  0.4114776278D-12  0.7872481556D-08
      16565  0.1844855730D-03  0.4119713154D-12  0.7871530761D-08
      16566  0.1844744359D-03  0.4117736129D-12  0.7870579743D-08
      16567  0.1844633124D-03  0.4117487563D-12  0.7869629393D-08
      16568  0.1844521753D-03  0.4117239030D-12  0.7868678598D-08
      16569  0.1844410320D-03  0.4117845612D-12  0.7867728247D-08
      16570  0.1844299146D-03  0.4113286235D-12  0.7866778784D-08
      16571  0.1844187843D-03  0.4111310194D-12  0.7865828433D-08
      16572  0.1844076608D-03  0.4111925943D-12  0.7864878526D-08
      16573  0.1843965440D-03  0.4112541617D-12  0.7863929063D-08
      16574  0.1843854137D-03  0.4109702235D-12  0.7862979601D-08
      16575  0.1843742766D-03  0.4112045357D-12  0.7862029916D-08
      16576  0.1843631734D-03  0.4104888138D-12  0.7861081119D-08
      16577  0.1843520566D-03  0.4107231264D-12  0.7860131657D-08
      16578  0.1843409399D-03  0.4105256424D-12  0.7859183082D-08
      16579  0.1843298095D-03  0.4105008792D-12  0.7858233841D-08
      16580  0.1843186996D-03  0.4101307460D-12  0.7857285489D-08
      16581  0.1843075760D-03  0.4106240382D-12  0.7856337136D-08
      16582  0.1842964729D-03  0.4105129406D-12  0.7855388784D-08
      16583  0.1842853697D-03  0.4099702181D-12  0.7854441098D-08
      16584  0.1842742394D-03  0.4104634307D-12  0.7853492745D-08
      16585  0.1842631498D-03  0.4103523630D-12  0.7852545281D-08
      16586  0.1842520466D-03  0.4100686845D-12  0.7851597816D-08
      16587  0.1842409366D-03  0.4100439617D-12  0.7850651240D-08
      16588  0.1842298199D-03  0.4100192414D-12  0.7849704886D-08
      16589  0.1842187167D-03  0.4099082279D-12  0.7848758976D-08
      16590  0.1842076135D-03  0.4094520629D-12  0.7847813066D-08
      16591  0.1841965239D-03  0.4090822386D-12  0.7846867156D-08
      16592  0.1841854139D-03  0.4093164252D-12  0.7845922134D-08
      16593  0.1841743107D-03  0.4092917564D-12  0.7844976446D-08
      16594  0.1841632144D-03  0.4096121726D-12  0.7844031202D-08
      16595  0.1841521315D-03  0.4101050808D-12  0.7843086403D-08
      16596  0.1841410351D-03  0.4093902885D-12  0.7842141381D-08
      16597  0.1841299455D-03  0.4086755823D-12  0.7841196581D-08
      16598  0.1841188559D-03  0.4089097085D-12  0.7840252003D-08
      16599  0.1841077595D-03  0.4092300505D-12  0.7839307647D-08
      16600  0.1840966631D-03  0.4091191574D-12  0.7838363736D-08
      16601  0.1840855871D-03  0.4088358097D-12  0.7837419602D-08
      16602  0.1840744771D-03  0.4094147848D-12  0.7836475469D-08
      16603  0.1840634147D-03  0.4085278876D-12  0.7835532223D-08
      16604  0.1840523251D-03  0.4085895006D-12  0.7834588533D-08
      16605  0.1840412355D-03  0.4089097463D-12  0.7833645066D-08
      16606  0.1840301662D-03  0.4085402881D-12  0.7832702265D-08
      16607  0.1840190834D-03  0.4084294835D-12  0.7831758797D-08
      16608  0.1840079938D-03  0.4090082741D-12  0.7830816440D-08
      16609  0.1839969178D-03  0.4086388773D-12  0.7829873416D-08
      16610  0.1839858509D-03  0.4074983130D-12  0.7828931281D-08
      16611  0.1839747793D-03  0.4081587625D-12  0.7827988924D-08
      16612  0.1839636965D-03  0.4080480142D-12  0.7827046788D-08
      16613  0.1839526272D-03  0.4083681381D-12  0.7826104653D-08
      16614  0.1839415648D-03  0.4079988910D-12  0.7825163184D-08
      16615  0.1839304955D-03  0.4081466563D-12  0.7824221937D-08
      16616  0.1839194195D-03  0.4082082478D-12  0.7823279802D-08
      16617  0.1839083589D-03  0.4077672444D-12  0.7822338999D-08
      16618  0.1838972946D-03  0.4075560957D-12  0.7821397530D-08
      16619  0.1838862249D-03  0.4079415945D-12  0.7820456727D-08
      16620  0.1838751629D-03  0.4075931848D-12  0.7819516146D-08
      16621  0.1838641072D-03  0.4077409214D-12  0.7818575565D-08
      16622  0.1838530379D-03  0.4076302647D-12  0.7817634984D-08
      16623  0.1838420026D-03  0.4076057412D-12  0.7816695069D-08
      16624  0.1838309334D-03  0.4072367618D-12  0.7815754710D-08
      16625  0.1838198708D-03  0.4072212216D-12  0.7814814573D-08
      16626  0.1838088220D-03  0.4071877715D-12  0.7813875103D-08
      16627  0.1837977732D-03  0.4072493801D-12  0.7812935632D-08
      16628  0.1837867175D-03  0.4068805108D-12  0.7811996161D-08
      16629  0.1837756415D-03  0.4070282191D-12  0.7811056246D-08
      16630  0.1837646197D-03  0.4068315749D-12  0.7810117664D-08
      16631  0.1837535708D-03  0.4068071115D-12  0.7809178859D-08
      16632  0.1837425355D-03  0.4066965772D-12  0.7808240277D-08
      16633  0.1837314866D-03  0.4064139202D-12  0.7807301472D-08
      16634  0.1837204378D-03  0.4068198015D-12  0.7806363334D-08
      16635  0.1837093957D-03  0.4059347663D-12  0.7805424751D-08
      16636  0.1836983468D-03  0.4066848379D-12  0.7804486613D-08
      16637  0.1836873115D-03  0.4061441071D-12  0.7803548918D-08
      16638  0.1836762694D-03  0.4064638647D-12  0.7802611224D-08
      16639  0.1836652408D-03  0.4061813233D-12  0.7801673751D-08
      16640  0.1836541920D-03  0.4064150082D-12  0.7800736279D-08
      16641  0.1836431702D-03  0.4057023699D-12  0.7799799251D-08
      16642  0.1836321349D-03  0.4063661637D-12  0.7798862001D-08
      16643  0.1836210996D-03  0.4057396305D-12  0.7797925194D-08
      16644  0.1836100643D-03  0.4052851952D-12  0.7796988610D-08
      16645  0.1835990358D-03  0.4057768819D-12  0.7796051804D-08
      16646  0.1835880208D-03  0.4058385049D-12  0.7795115886D-08
      16647  0.1835769719D-03  0.4054701413D-12  0.7794179080D-08
      16648  0.1835659502D-03  0.4055317751D-12  0.7793242940D-08
      16649  0.1835549420D-03  0.4054214307D-12  0.7792307688D-08
      16650  0.1835439067D-03  0.4051391392D-12  0.7791371992D-08
      16651  0.1835328850D-03  0.4053727320D-12  0.7790436296D-08
      16652  0.1835218668D-03  0.4049069703D-12  0.7789500600D-08
      16653  0.1835108587D-03  0.4049613148D-12  0.7788566014D-08
      16654  0.1834998435D-03  0.4053207368D-12  0.7787631207D-08
      16655  0.1834888116D-03  0.4049315513D-12  0.7786695733D-08
      16656  0.1834778111D-03  0.4048422438D-12  0.7785761369D-08
      16657  0.1834668005D-03  0.4048955236D-12  0.7784827005D-08
      16658  0.1834557871D-03  0.4043429881D-12  0.7783892420D-08
      16659  0.1834447586D-03  0.4047483845D-12  0.7782957834D-08
      16660  0.1834337640D-03  0.4047240884D-12  0.7782024136D-08
      16661  0.1834227490D-03  0.4047742566D-12  0.7781090439D-08
      16662  0.1834117409D-03  0.4044177505D-12  0.7780156519D-08
      16663  0.1834007395D-03  0.4043075654D-12  0.7779223044D-08
      16664  0.1833897381D-03  0.4041973937D-12  0.7778290012D-08
      16665  0.1833787299D-03  0.4043449441D-12  0.7777356537D-08
      16666  0.1833677321D-03  0.4044533620D-12  0.7776423505D-08
      16667  0.1833567272D-03  0.4042105285D-12  0.7775490474D-08
      16668  0.1833457326D-03  0.4039286144D-12  0.7774558108D-08
      16669  0.1833347448D-03  0.4042479099D-12  0.7773625743D-08
      16670  0.1833237502D-03  0.4040519043D-12  0.7772693600D-08
      16671  0.1833127556D-03  0.4037700504D-12  0.7771761457D-08
      16672  0.1833017407D-03  0.4039175644D-12  0.7770828869D-08
      16673  0.1832907597D-03  0.4040650609D-12  0.7769897392D-08
      16674  0.1832797718D-03  0.4033539739D-12  0.7768965915D-08
      16675  0.1832687840D-03  0.4033297836D-12  0.7768034216D-08
      16676  0.1832577947D-03  0.4031446992D-12  0.7767102739D-08
      16677  0.1832468016D-03  0.4035389347D-12  0.7766171706D-08
      16678  0.1832358139D-03  0.4039430530D-12  0.7765240451D-08
      16679  0.1832248472D-03  0.4032012603D-12  0.7764309862D-08
      16680  0.1832138586D-03  0.4032947009D-12  0.7763379273D-08
      16681  0.1832028640D-03  0.4030988816D-12  0.7762448684D-08
      16682  0.1831918898D-03  0.4030747168D-12  0.7761518539D-08
      16683  0.1831809223D-03  0.4027931243D-12  0.7760588394D-08
      16684  0.1831699277D-03  0.4030263956D-12  0.7759658027D-08
      16685  0.1831589603D-03  0.4026590395D-12  0.7758728326D-08
      16686  0.1831479929D-03  0.4023775225D-12  0.7757799070D-08
      16687  0.1831370118D-03  0.4024391977D-12  0.7756869147D-08
      16688  0.1831260376D-03  0.4024150809D-12  0.7755939890D-08
      16689  0.1831150634D-03  0.4028198638D-12  0.7755010634D-08
      16690  0.1831040959D-03  0.4022810817D-12  0.7754081599D-08
      16691  0.1830931285D-03  0.4024285173D-12  0.7753152786D-08
      16692  0.1830821610D-03  0.4024044071D-12  0.7752224418D-08
      16693  0.1830712004D-03  0.4019515055D-12  0.7751295827D-08
      16694  0.1830602329D-03  0.4019274265D-12  0.7750367459D-08
      16695  0.1830492723D-03  0.4020748477D-12  0.7749439090D-08
      16696  0.1830383048D-03  0.4018792776D-12  0.7748511388D-08
      16697  0.1830273442D-03  0.4016837308D-12  0.7747583242D-08
      16698  0.1830163855D-03  0.4018321622D-12  0.7746655761D-08
      16699  0.1830054297D-03  0.4017213477D-12  0.7745728281D-08
      16700  0.1829944743D-03  0.4015635890D-12  0.7744801467D-08
      16701  0.1829835151D-03  0.4015018022D-12  0.7743873986D-08
      16702  0.1829725681D-03  0.4018206125D-12  0.7742946950D-08
      16703  0.1829616006D-03  0.4013680171D-12  0.7742019914D-08
      16704  0.1829506603D-03  0.4016010947D-12  0.7741093322D-08
      16705  0.1829397085D-03  0.4013435375D-12  0.7740166730D-08
      16706  0.1829287594D-03  0.4014673213D-12  0.7739240138D-08
      16707  0.1829178123D-03  0.4012719163D-12  0.7738314434D-08
      16708  0.1829068499D-03  0.4020316825D-12  0.7737388286D-08
      16709  0.1828959082D-03  0.4013063946D-12  0.7736461693D-08
      16710  0.1828849710D-03  0.4008571851D-12  0.7735536656D-08
      16711  0.1828740276D-03  0.4008912451D-12  0.7734611174D-08
      16712  0.1828631040D-03  0.4004665647D-12  0.7733686136D-08
      16713  0.1828521501D-03  0.4011278515D-12  0.7732760654D-08
      16714  0.1828412234D-03  0.4005899444D-12  0.7731835838D-08
      16715  0.1828302763D-03  0.4004803315D-12  0.7730910578D-08
      16716  0.1828193564D-03  0.4006276540D-12  0.7729986207D-08
      16717  0.1828084161D-03  0.4003467803D-12  0.7729061391D-08
      16718  0.1827974708D-03  0.4006655626D-12  0.7728137241D-08
      16719  0.1827865491D-03  0.4004701376D-12  0.7727213314D-08
      16720  0.1827756213D-03  0.4001858854D-12  0.7726289164D-08
      16721  0.1827646888D-03  0.3997373133D-12  0.7725365236D-08
      16722  0.1827537478D-03  0.3998427755D-12  0.7724441087D-08
      16723  0.1827428354D-03  0.3998607139D-12  0.7723518047D-08
      16724  0.1827319155D-03  0.3999224029D-12  0.7722594564D-08
      16725  0.1827209875D-03  0.4005084564D-12  0.7721671746D-08
      16726  0.1827100604D-03  0.4003367904D-12  0.7720748041D-08
      16727  0.1826991285D-03  0.3998506729D-12  0.7719825224D-08
      16728  0.1826882154D-03  0.3998267689D-12  0.7718902406D-08
      16729  0.1826772848D-03  0.3996836170D-12  0.7717979589D-08
      16730  0.1826663823D-03  0.4001212453D-12  0.7717057660D-08
      16731  0.1826554488D-03  0.3996695088D-12  0.7716135064D-08
      16732  0.1826445448D-03  0.3991599139D-12  0.7715213135D-08
      16733  0.1826336360D-03  0.3994506285D-12  0.7714291428D-08
      16734  0.1826227229D-03  0.3989990134D-12  0.7713369721D-08
      16735  0.1826117962D-03  0.3992318008D-12  0.7712447792D-08
      16736  0.1826009034D-03  0.3994645603D-12  0.7711526528D-08
      16737  0.1825899767D-03  0.3994406918D-12  0.7710605043D-08
      16738  0.1825790907D-03  0.3987326004D-12  0.7709684224D-08
      16739  0.1825681775D-03  0.3987943017D-12  0.7708763183D-08
      16740  0.1825572779D-03  0.3987704778D-12  0.7707842364D-08
      16741  0.1825463716D-03  0.3984046046D-12  0.7706921767D-08
      16742  0.1825354788D-03  0.3986373302D-12  0.7706001837D-08
      16743  0.1825245588D-03  0.3988700281D-12  0.7705081240D-08
      16744  0.1825136796D-03  0.3984187172D-12  0.7704161309D-08
      16745  0.1825027733D-03  0.3984804152D-12  0.7703241378D-08
      16746  0.1824918873D-03  0.3981146688D-12  0.7702321669D-08
      16747  0.1824809809D-03  0.3987747536D-12  0.7701401739D-08
      16748  0.1824700949D-03  0.3978961702D-12  0.7700482474D-08
      16749  0.1824591953D-03  0.3985561889D-12  0.7699562765D-08
      16750  0.1824483161D-03  0.3978486578D-12  0.7698644167D-08
      16751  0.1824374165D-03  0.3979958298D-12  0.7697725124D-08
      16752  0.1824265237D-03  0.3980575271D-12  0.7696806081D-08
      16753  0.1824156445D-03  0.3982046686D-12  0.7695887483D-08
      16754  0.1824047450D-03  0.3977536669D-12  0.7694968884D-08
      16755  0.1823938657D-03  0.3979008090D-12  0.7694050286D-08
      16756  0.1823829933D-03  0.3972790069D-12  0.7693132797D-08
      16757  0.1823721005D-03  0.3973407286D-12  0.7692214643D-08
      16758  0.1823612281D-03  0.3974024429D-12  0.7691296711D-08
      16759  0.1823503353D-03  0.3975495713D-12  0.7690379000D-08
      16760  0.1823394629D-03  0.3976966818D-12  0.7689461290D-08
      16761  0.1823285769D-03  0.3973313094D-12  0.7688543802D-08
      16762  0.1823177180D-03  0.3972221983D-12  0.7687627201D-08
      16763  0.1823068320D-03  0.3972839012D-12  0.7686709491D-08
      16764  0.1822959596D-03  0.3971748058D-12  0.7685792669D-08
      16765  0.1822850872D-03  0.3970657236D-12  0.7684876291D-08
      16766  0.1822742283D-03  0.3962735708D-12  0.7683959691D-08
      16767  0.1822633491D-03  0.3975306400D-12  0.7683043091D-08
      16768  0.1822524753D-03  0.3970936179D-12  0.7682126713D-08
      16769  0.1822416178D-03  0.3966295240D-12  0.7681211001D-08
      16770  0.1822307522D-03  0.3967766014D-12  0.7680294845D-08
      16771  0.1822198662D-03  0.3968383017D-12  0.7679378689D-08
      16772  0.1822090277D-03  0.3965585755D-12  0.7678463643D-08
      16773  0.1821981620D-03  0.3964495815D-12  0.7677547931D-08
      16774  0.1821872964D-03  0.3966819794D-12  0.7676632441D-08
      16775  0.1821764443D-03  0.3962316332D-12  0.7675717617D-08
      16776  0.1821655855D-03  0.3962933475D-12  0.7674802571D-08
      16777  0.1821547334D-03  0.3962697251D-12  0.7673887970D-08
      16778  0.1821438813D-03  0.3959901326D-12  0.7672973368D-08
      16779  0.1821330225D-03  0.3961371693D-12  0.7672058544D-08
      16780  0.1821221704D-03  0.3960282462D-12  0.7671144386D-08
      16781  0.1821113161D-03  0.3959277887D-12  0.7670230229D-08
      16782  0.1821004663D-03  0.3952133113D-12  0.7669316071D-08
      16783  0.1820896142D-03  0.3957015549D-12  0.7668402136D-08
      16784  0.1820787757D-03  0.3955926838D-12  0.7667488644D-08
      16785  0.1820679304D-03  0.3955691144D-12  0.7666575152D-08
      16786  0.1820570716D-03  0.3953749806D-12  0.7665661439D-08
      16787  0.1820462263D-03  0.3955219839D-12  0.7664747947D-08
      16788  0.1820353956D-03  0.3952459550D-12  0.7663835122D-08
      16789  0.1820245482D-03  0.3957789294D-12  0.7662922297D-08
      16790  0.1820137108D-03  0.3951102560D-12  0.7662009471D-08
      16791  0.1820028655D-03  0.3953424986D-12  0.7661096868D-08
      16792  0.1819920338D-03  0.3956599661D-12  0.7660184487D-08
      16793  0.1819812021D-03  0.3953806596D-12  0.7659272105D-08
      16794  0.1819703704D-03  0.3951866295D-12  0.7658360168D-08
      16795  0.1819595387D-03  0.3949073844D-12  0.7657448009D-08
      16796  0.1819487002D-03  0.3947986384D-12  0.7656536072D-08
      16797  0.1819378821D-03  0.3947751329D-12  0.7655624579D-08
      16798  0.1819270504D-03  0.3949220759D-12  0.7654713086D-08
      16799  0.1819162051D-03  0.3949837836D-12  0.7653801148D-08
      16800  0.1819053937D-03  0.3943637835D-12  0.7652890543D-08
      16801  0.1818945688D-03  0.3946811393D-12  0.7651979494D-08
      16802  0.1818837371D-03  0.3946576481D-12  0.7651068001D-08
      16803  0.1818729190D-03  0.3941229755D-12  0.7650157841D-08
      16804  0.1818620805D-03  0.3946106738D-12  0.7649246792D-08
      16805  0.1818512759D-03  0.3939056928D-12  0.7648336631D-08
      16806  0.1818404510D-03  0.3941377998D-12  0.7647426248D-08
      16807  0.1818296396D-03  0.3941995250D-12  0.7646516087D-08
      16808  0.1818188283D-03  0.3942612425D-12  0.7645606370D-08
      16809  0.1818080102D-03  0.3937267844D-12  0.7644696431D-08
      16810  0.1817971942D-03  0.3938802791D-12  0.7643786715D-08
      16811  0.1817863807D-03  0.3941057246D-12  0.7642877442D-08
      16812  0.1817755693D-03  0.3939971295D-12  0.7641967725D-08
      16813  0.1817647580D-03  0.3937182541D-12  0.7641058675D-08
      16814  0.1817539466D-03  0.3936096953D-12  0.7640149624D-08
      16815  0.1817431421D-03  0.3935011491D-12  0.7639240573D-08
      16816  0.1817323403D-03  0.3935103670D-12  0.7638331745D-08
      16817  0.1817215262D-03  0.3937097280D-12  0.7637423138D-08
      16818  0.1817107352D-03  0.3936011952D-12  0.7636514754D-08
      16819  0.1816999306D-03  0.3932373265D-12  0.7635606369D-08
      16820  0.1816891264D-03  0.3938186803D-12  0.7634698429D-08
      16821  0.1816783283D-03  0.3929352496D-12  0.7633790045D-08
      16822  0.1816675294D-03  0.3930935588D-12  0.7632882104D-08
      16823  0.1816567294D-03  0.3932494397D-12  0.7631974608D-08
